key,population,cases
La Réunion,859959,0
Corse,344679,0
Martinique,358749,0
Île-de-France,12278210,0
Hauts-de-France,5962662,0
Nouvelle-Aquitaine,5999982,0
Normandie,3303500,0
Guadeloupe,376879,0
Pays de la Loire,3801797,0
Centre-Val de Loire,2559073,0
Grand Est,5511747,0
Guyane,290691,0
Provence-Alpes-Côte d'Azur,5055651,0
Mayotte,279471,0
Bretagne,3340379,0
Bourgogne-Franche-Comté,2783039,0
Occitanie,5924858,0
Auvergne-Rhône-Alpes,8032377,0
Saint-Barthélemy,9793,0
Saint-Martin,35746,0
Saint Pierre et Miquelon,6008,0
Polynésie française,4200,0
Terres australes et antarctiques françaises,196,0
