Hokkaido,5384
Aomori,1309
Iwate,1280
Miyagi,2334
Akita,1023
Yamagata,1123
Fukushima,1914
Ibaraki,2918
Tochigi,1975
Gunma,1973
Saitama,7261
Chiba,6224
Tokyo,13514
Kanagawa,9127
Niigata,2305
Toyama,1067
Ishikawa,1154
Fukui,787
Yamanashi,835
Nagano,2100
Gifu,2033
Shizuoka,3701
Aichi,7484
Mie,1816
Shiga,1413
Kyoto,2610
Osaka,8839
Hyogo,5537
Nara,1365
Wakayama,964
Tottori,574
Shimane,694
Okayama,1922
Hiroshima,2845
Yamaguchi,1405
Tokushima,756
Kagawa,977
Ehime,1386
Kochi,728
Fukuoka,5103
Saga,833
Nagasaki,1378
Kumamoto,1787
Oita,1167
Miyazaki,1104
Kagoshima,1649
Okinawa,1434
