Belfast East,1190,65.8%,20,728,20728,21,918,21918,48.6%,51.4%
Belfast North,-284,57.5%,20,128,20128,19,844,19844,50.4%,49.6%
Belfast South,-17364,67.6%,30,960,30960,13,596,13596,69.5%,30.5%
Belfast West,-15007,48.9%,23,99,23099,8,92,8092,74.1%,25.9%
East Antrim,4313,65.2%,18,616,18616,22,929,22929,44.8%,55.2%
East Londonderry,-1643,59.7%,21,98,21098,19,455,19455,52.0%,48.0%
Fermanagh and South Tyrone,-8242,67.8%,28,200,28200,19,958,19958,58.6%,41.4%
Foyle,-23159,57.4%,32,64,32064,8,905,8905,78.3%,21.7%
Lagan Valley,2994,66.6%,22,710,22710,25,704,25704,46.9%,53.1%
Mid Ulster,-8813,61.6%,25,612,25612,16,799,16799,60.4%,39.6%
Newry and Armagh,-13304,63.9%,31,963,31963,18,659,18659,62.9%,36.9%
North Antrim,12156,64.9%,18,782,18782,30,938,30938,37.8%,62.2%
North Down,-2085,67.7%,23,131,23131,21,46,21046,52.4%,47.6%
South Antrim,557,63.1%,21,498,21498,22,55,22055,49.4%,50.6%
South Down,-16451,62.2%,32,76,32076,15,625,15625,67.2%,32.8%
Strangford,4656,64.5%,18,727,18727,23,383,23383,44.5%,55.5%
Upper Bann,2712,63.6%,24,550,24550,27,262,27262,47.4%,52.6%
West Tyrone,-13491,61.8%,26,765,26765,13,274,13274,66.8%,33.2%
